PID	Status	Label
-	0	com.apple.SafariHistoryServiceAgent
-	0	com.apple.progressd
1247	-15	com.apple.Finder
-	0	com.apple.homed
389	0	com.apple.SafeEjectGPUAgent
1253	0	com.apple.quicklook
-	0	com.apple.parentalcontrols.check
-	0	com.apple.PackageKit.InstallStatus
443	0	com.apple.mediaremoteagent
1206	0	com.apple.FontWorker
1256	-9	com.apple.bird
-	0	com.apple.familycontrols.useragent
-	0	com.apple.AssetCache.agent
-	0	com.apple.universalaccessAuthWarn
1257	-9	com.apple.nsurlsessiond
526	0	com.apple.TextEdit.1348
497	0	com.apple.systempreferences.1352
-	0	com.apple.syncservices.uihandler
312	0	com.apple.iconservices.iconservicesagent
-	0	com.apple.ContactsAgent
405	0	com.apple.SafariBookmarksSyncAgent
-	0	com.apple.corespotlightservice.418BE47B-E0F6-79DF-0000-000000000000
-	0	com.apple.ManagedClientAgent.agent
-	0	com.apple.screensharing.agent
316	0	com.apple.commerce
-	0	com.apple.TMHelperAgent.SetupOffer
-	0	com.apple.AddressBook.SourceSync
-	0	com.apple.installerauthagent
-	0	com.apple.languageassetd
-	0	com.apple.familynotificationd
483	0	com.apple.photolibraryd
-	0	com.apple.xpc.otherbsd
-	0	com.apple.sysdiagnose_agent
-	0	com.apple.bluetoothUIServer
-	0	com.apple.universalaccessHUD
-	0	com.apple.assistant_service
-	0	com.apple.touristd
-	0	com.apple.MRTa
1246	-9	com.apple.trustd.agent
-	0	com.apple.MailServiceAgent
-	0	com.apple.mdworker.mail
1107	-9	com.apple.mdworker.shared.0E000000-0000-0000-0000-000000000000
-	0	com.apple.cvmsCompAgent3425AMD_i386
-	0	com.apple.cvmsCompAgent3425AMD_i386_1
262	0	com.apple.cfprefsd.xpc.agent
-	0	com.apple.DataDetectorsLocalSources
-	0	com.apple.unmountassistant.useragent
-	0	com.apple.java.InstallOnDemand
457	0	com.apple.keyboardservicesd
556	0	com.apple.helpviewer.1208
397	0	com.apple.quicklook.ThumbnailsAgent
-	0	com.apple.csuseragent
-	0	com.apple.CoreRAIDAgent
-	0	com.apple.AOSPushRelay
-	-9	com.apple.SocialPushAgent
-	0	com.apple.xpc.loginitemregisterd
455	0	com.apple.applespell
-	0	com.apple.coreservices.UASharedPasteboardProgressUI
745	-9	com.apple.screensharing.menuextra
358	0	com.apple.AddressBook.ContactsAccountsService
-	0	com.apple.warmd_agent
-	0	com.apple.PubSub.Agent
-	0	com.apple.pictd
-	0	com.apple.universalaccesscontrol
-	0	com.apple.Safari.SafeBrowsing.Service
-	0	com.apple.findmymacmessenger
-	0	com.apple.FilesystemUI
-	0	com.apple.pluginkit.pkreporter
-	0	com.apple.lateragent
-	0	com.apple.systemprofiler
744	-9	com.apple.cloudd
1245	-9	com.apple.noticeboard.agent
-	0	com.apple.UserNotificationCenterAgent
-	0	com.apple.cmfsyncagent
-	0	com.apple.dt.CommandLineTools.installondemand
-	0	com.apple.ATS.FontValidator
344	0	com.apple.diagnostics_agent
-	0	com.apple.appleseed.seedusaged
-	0	com.apple.LocalAuthentication.UIAgent
345	0	com.apple.ap.adprivacyd
-	0	com.apple.PhotoLibraryMigrationUtility.XPC
385	0	com.apple.apfsuseragent
384	0	com.apple.networkserviceproxy
-	0	com.openssh.ssh-agent
406	0	com.apple.atsd
-	0	com.apple.tonelibraryd
481	0	com.apple.CloudPhotosConfiguration
-	0	com.apple.mdworker.bundles
352	0	com.apple.ctkd
1264	0	com.apple.sbd
324	0	com.apple.secinitd
-	0	com.apple.cvmsCompAgent3600_i386_1
471	0	com.apple.mdworker.shared.0B000000-0000-0000-0000-000000000000
-	0	com.apple.facebook.xpc
-	0	com.apple.contacts.donation-agent
-	0	com.apple.ServicesUIAgent
479	0	com.apple.cloudphotosd
-	0	com.apple.ctkbind
496	0	com.apple.alf.useragent
289	0	com.apple.tccd
1231	-9	com.apple.coreservices.uiagent
-	0	com.apple.AccessibilityVisualsAgent
-	0	com.apple.installd.user
-	0	com.apple.ContainerRepairAgent
303	0	com.apple.akd
327	0	com.apple.CallHistoryPluginHelper
328	0	com.apple.storeaccountd
-	0	com.apple.AddressBook.AssistantService
-	0	com.apple.PIPAgent
-	0	com.apple.mbfloagent
699	0	com.apple.printtool.agent
-	0	com.apple.quicklook.32bit
315	0	com.apple.nsurlstoraged
-	0	com.apple.askpermissiond
-	0	com.apple.USBAgent
-	0	com.apple.ssinvitationagent
-	0	com.apple.webinspectord
-	0	com.apple.speech.synthesisserver
-	0	com.apple.WebKit.PluginAgent
-	0	com.apple.DiagnosticReportCleanup.plist
-	0	com.apple.storeuid
-	0	com.apple.rcd
543	0	com.apple.printuitool.agent
-	0	com.apple.NVMeAgent
-	0	com.apple.speech.speechdatainstallerd
-	0	com.apple.AOSHeartbeat
347	0	com.apple.CryptoTokenKit.ahp.agent
-	0	com.apple.SafariNotificationAgent
-	0	com.apple.appsleep
308	0	com.apple.coreservices.useractivityd
-	0	com.apple.screencaptureui.agent
466	0	com.apple.mdworker.shared.10000000-0000-0000-0000-000000000000
-	0	com.apple.cvmsCompAgent3600_x86_64_1
-	0	com.apple.netauth.user.auth
-	0	com.apple.siri-distributed-evaluation
1236	-9	com.apple.ViewBridgeAuxiliary
-	0	com.apple.mbbackgrounduseragent
314	0	com.apple.cvmsCompAgent_x86_64
273	0	com.apple.lsd
-	0	com.apple.siri.context.service
-	0	com.apple.weibo.xpc
284	0	com.apple.pluginkit.pkd
-	0	com.apple.security.XPCTimeStampingService
399	0	com.apple.cache_delete
-	0	com.apple.personad
-	0	com.apple.accessibility.dfrhud
-	0	com.apple.CallHistorySyncHelper
395	0	com.apple.colorsync.useragent
305	0	com.apple.parsecd
270	0	com.apple.Dock.agent
-	0	com.apple.parsec-fbf
